month,revenue,expenses,net,notes
2025-01,0,5000,-5000,Pre-launch ops and development
2025-02,0,5000,-5000,Pre-launch ops
2025-03,2000,6000,-4000,Early pilot revenue
2025-04,4000,7000,-3000,Onboarding pilot partners
2025-05,8000,9000,-1000,Growing users
2025-06,15000,12000,3000,Initial positive cashflow in month 6
2025-07,20000,14000,6000,Scaling
2025-08,30000,16000,14000,Scaling and monetization
2025-09,40000,18000,22000,Expansion
2025-10,50000,20000,30000,Revenue growth
2025-11,60000,22000,38000,Continued growth
2025-12,70000,25000,45000,Annual run-rate growth
